81.0, 98.0, 89.0, 96.0, 84.0, 87.0, 79.0, 72.0, 80.0, 66.0, , 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 4.0, 2.0, , 19.0, 2.0, 10.0, 3.0, 16.0, 12.0, 20.0, 28.0, 16.0, 32.0, , 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, , 0.0, 0.0, 0.0, 0.0, 0.5, 1.0, 0.0, 0.05555555555555555, 0.0, 0.0
88.0, 99.0, 83.0, 95.0, 85.0, 87.0, 74.0, 71.0, 83.0, 68.0, , 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 3.0, 2.0, 2.0, 1.0, , 12.0, 1.0, 17.0, 5.0, 15.0, 11.0, 23.0, 27.0, 15.0, 31.0, , 0.0, 0.0, 0.07142857142857142, 0.3181818181818182, 0.0, 0.0, 0.08695652173913043, 0.015873015873015872, 0.0, 0.0, , 0.0, 0.0, 0.0, 0.0, 0.5, 0.6666666666666666, 0.6956521739130435, 0.2857142857142857, 0.6, 0.4222222222222222
94.0, 96.0, 80.0, 92.0, 76.0, 85.0, 77.0, 70.0, 77.0, 70.0, , 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 4.0, 2.0, , 6.0, 4.0, 20.0, 7.0, 24.0, 15.0, 22.0, 30.0, 19.0, 28.0, , 0.0, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, , 0.0, 0.0, 0.0, 0.0, 0.47058823529411764, 0.5584415584415584, 0.625, 0.6666666666666666, 0.4772727272727273, 0.6
91.0, 97.0, 81.0, 96.0, 89.0, 82.0, 79.0, 73.0, 80.0, 73.0, , 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 3.0, , 9.0, 3.0, 19.0, 4.0, 11.0, 18.0, 21.0, 27.0, 18.0, 24.0, , 0.0, 0.0, 0.1111111111111111, 0.05, 0.0, 0.0, 0.0, 0.02127659574468085, 0.0, 0.016666666666666666, , 0.0, 0.0, 0.0, 0.0, 1.0, 0.23255813953488372, 0.6666666666666666, 0.43617021276595747, 0.6, 0.36666666666666664
90.0, 92.0, 85.0, 94.0, 77.0, 83.0, 77.0, 71.0, 79.0, 68.0, , 0.0, 0.0, 0.0, 1.0, 0.0, 3.0, 2.0, 2.0, 3.0, 0.0, , 10.0, 8.0, 15.0, 5.0, 23.0, 14.0, 21.0, 27.0, 18.0, 32.0, , 0.0, 0.0, 0.05263157894736842, 0.03773584905660377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.022988505747126436, , 0.0, 0.0, 0.0, 0.0, 0.8, 1.0, 0.16666666666666666, 0.0, 0.0, 0.4942528735632184
92.0, 96.0, 88.0, 96.0, 79.0, 83.0, 85.0, 68.0, 69.0, 62.0, , 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, , 8.0, 4.0, 12.0, 3.0, 21.0, 16.0, 15.0, 32.0, 30.0, 38.0, , 0.0, 0.0, 0.0, 0.045454545454545456, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, , 0.0, 0.0, 0.0, 0.0, 0.5454545454545454, 0.391304347826087, 0.8333333333333334, 0.3333333333333333, 0.5882352941176471, 0.7692307692307693
87.0, 94.0, 90.0, 98.0, 83.0, 88.0, 74.0, 71.0, 76.0, 74.0, , 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 3.0, 1.0, , 13.0, 6.0, 10.0, 2.0, 17.0, 12.0, 23.0, 29.0, 21.0, 25.0, , 0.0, 0.0, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, , 0.0, 0.0, 0.0, 0.0, 0.6153846153846154, 0.5714285714285714, 0.631578947368421, 0.47058823529411764, 0.6190476190476191, 0.5
85.0, 94.0, 78.0, 95.0, 88.0, 85.0, 85.0, 66.0, 66.0, 58.0, , 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 0.0, 5.0, 0.0, , 15.0, 6.0, 22.0, 5.0, 12.0, 13.0, 13.0, 34.0, 29.0, 42.0, , 0.0, 0.0, 0.09090909090909091, 0.0, 0.0, 0.0, 0.0, 0.058823529411764705, 0.0, 0.0, , 0.0, 0.0, 0.0, 0.0, 0.47368421052631576, 0.8333333333333334, 0.47619047619047616, 0.5882352941176471, 0.5909090909090909, 0.75
93.0, 98.0, 86.0, 95.0, 83.0, 88.0, 76.0, 68.0, 78.0, 72.0, , 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 3.0, 0.0, , 7.0, 2.0, 14.0, 5.0, 17.0, 11.0, 23.0, 31.0, 19.0, 28.0, , 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08695652173913043, 0.0, 0.0, 0.0, , 0.0, 0.0, 0.0, 0.0, 0.7692307692307693, 0.5135135135135135, 0.6739130434782609, 0.25, 0.3103448275862069, 0.2
91.0, 96.0, 85.0, 99.0, 86.0, 84.0, 76.0, 68.0, 86.0, 72.0, , 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, , 9.0, 4.0, 15.0, 0.0, 14.0, 15.0, 23.0, 32.0, 13.0, 27.0, , 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, , 0.0, 0.0, 0.0, 0.0, 0.6086956521739131, 0.5714285714285714, 0.5217391304347826, 0.5555555555555556, 0.6153846153846154, 0.4166666666666667
