61,50, ,0,0, ,39,50, ,0,0, ,0.5,0.5,
62,51, ,0,0, ,38,49, ,0,0, ,0.279069767,0.055555556,
65,53, ,0,0, ,35,47, ,0,0, ,0.411764706,0.142857143,
61,48, ,0,0, ,39,52, ,0,0, ,0.428571429,0.173913043,
58,56, ,0,0, ,42,44, ,0.018867925,0, ,0.339622642,0.210526316,
54,58, ,0,0, ,46,42, ,0,0, ,0.345679012,0.541666667,
67,42, ,0,0, ,34,58, ,0,0, ,0.483870968,0.5,
61,51, ,0,0, ,40,49, ,0,0, ,0.571428571,0.4,
67,51, ,0,0, ,34,49, ,0.027027027,0, ,0.135135135,0.4,
48,54, ,0,0, ,52,46, ,0,0, ,0.25,0.181818182,
57,39, ,0,0, ,43,61, ,0.052631579,0.2, ,0.210526316,0.1,
64,50, ,0,0, ,37,50, ,0,0.071428571, ,0.666666667,0.035714286,
57,50, ,0,0, ,43,50, ,0.1,0.023255814, ,0.6,0.255813953,
55,53, ,0,0, ,47,47, ,0,0.25, ,0.857142857,0,
61,51, ,0,0, ,39,49, ,0,0, ,0.571428571,0.111111111,
51,63, ,0,0, ,49,37, ,0,0, ,0,0.263157895,
52,53, ,0,0, ,48,47, ,0,0, ,0.153846154,0.086956522,
59,52, ,0,0, ,43,48, ,0,0, ,0.1875,0.255813953,
57,58, ,0,0, ,43,42, ,0.090909091,0, ,0.681818182,0.285714286,
68,53, ,0,0, ,32,47, ,0,0, ,0.4,0,
61,50, ,0,0, ,39,50, ,0,0.125, ,0.5,0.15625,
60,56, ,0,0, ,41,44, ,0.045454545,0, ,0.090909091,0.636363636,
57,52, ,0,0, ,43,48, ,0,0, ,0.580645161,0.428571429,
51,49, ,0,0, ,49,51, ,0,0, ,0.166666667,0.2,
66,55, ,0,0, ,35,45, ,0,0, ,0.333333333,0.421052632,
62,54, ,0,0, ,38,46, ,0,0, ,0.545454545,0,
60,49, ,0,0, ,40,51, ,0,0, ,0.590909091,0.47826087,
47,51, ,0,0, ,55,49, ,0.058823529,0, ,0.196078431,0.333333333,
60,57, ,0,0, ,40,43, ,0,0, ,0.714285714,0.703703704,
64,54, ,0,0, ,36,46, ,0,0, ,0.571428571,0.125,
59.1,52.1,#DIV/0!,0,0,#DIV/0!,41.3,47.9,#DIV/0!,0.01312379,0.022322813,#DIV/0!,0.412126053,0.266105151,#DIV/0!
