54,53, ,8,9, ,38,38, ,0,0, ,0.6,0.185185185
57,44, ,5,14, ,38,42, ,0,0.045454545, ,0.470588235,0.363636364
54,40, ,7,7, ,39,53, ,0,0, ,0.384615385,0.526315789
56,44, ,7,11, ,38,45, ,0,0.230769231, ,0,0.384615385
55,49, ,7,7, ,38,44, ,0,0, ,0.555555556,0
64,45, ,8,13, ,29,42, ,0,0, ,0,0
52,46, ,7,11, ,41,43, ,0,0, ,0,0.2
57,44, ,9,10, ,34,46, ,0,0, ,0.384615385,0.166666667
55,45, ,10,9, ,35,46, ,0,0, ,0,0.117647059
55,55, ,7,8, ,38,37, ,0.025,0, ,0.45,0.235294118
51,43, ,5,10, ,44,47, ,0,0, ,0.105263158,0.7
49,44, ,4,7, ,47,49, ,0,0, ,0.277777778,0
55,46, ,10,10, ,35,44, ,0.045454545,0, ,0.681818182,0.875
55,44, ,6,12, ,39,44, ,0,0.020833333, ,0.111111111,0.3125
53,49, ,5,11, ,42,40, ,0,0, ,0.5,0
62,57, ,6,10, ,32,33, ,0.022727273,0, ,0.204545455,0
56,51, ,10,17, ,34,32, ,0,0, ,0,0.36
58,46, ,9,14, ,34,40, ,0,0.02, ,0.47826087,0.28
48,47, ,11,10, ,42,43, ,0.111111111,0, ,0.444444444,0.4
51,49, ,10,13, ,39,38, ,0,0, ,0.041666667,0
57,40, ,11,9, ,32,51, ,0,0, ,0.304347826,0.142857143
44,47, ,8,7, ,50,46, ,0.060606061,0, ,0.454545455,0.5
50,43, ,15,11, ,35,46, ,0,0, ,0.588235294,0.727272727
55,47, ,8,11, ,37,42, ,0.078947368,0, ,0.421052632,0.2
60,47, ,5,8, ,35,45, ,0.025,0, ,0.4,0.314285714
53,47, ,10,10, ,37,43, ,0,0, ,0.172413793,0.176470588
54,55, ,8,11, ,38,34, ,0,0.02173913, ,0.5,0.282608696
53,39, ,9,12, ,40,49, ,0,0, ,0.130434783,0.25
67,49, ,5,10, ,28,41, ,0,0.041666667, ,0.24137931,0.25
66,55, ,8,13, ,26,32, ,0,0, ,0.833333333,0.047619048
,,,7.933333333,10.5,#DIV/0!,37.13333333,42.5,#DIV/0!,0.012294879,0.012682097,#DIV/0!,0.324533488,0.266599149
